State,County,Name,Total Households,Households!With an Internet Subscription
08,031,"Denver County, Colorado",329578,304266
08,033,"Dolores County, Colorado",1238,921
08,035,"Douglas County, Colorado",136130,133014
08,037,"Eagle County, Colorado",20911,19902
08,039,"Elbert County, Colorado",9657,9133
08,041,"El Paso County, Colorado",283174,268002
08,043,"Fremont County, Colorado",17695,14966
08,045,"Garfield County, Colorado",23071,21271
08,047,"Gilpin County, Colorado",3076,2750
08,049,"Grand County, Colorado",6460,5992
08,051,"Gunnison County, Colorado",7903,7374
08,053,"Hinsdale County, Colorado",473,443
08,055,"Huerfano County, Colorado",2836,2204
08,057,"Jackson County, Colorado",634,528
08,059,"Jefferson County, Colorado",240031,227006
08,061,"Kiowa County, Colorado",574,485
08,063,"Kit Carson County, Colorado",2914,2587
08,065,"Lake County, Colorado",2959,2661
08,067,"La Plata County, Colorado",23200,20500
08,069,"Larimer County, Colorado",151571,140753
08,071,"Las Animas County, Colorado",6701,5742
08,073,"Lincoln County, Colorado",1970,1540
08,075,"Logan County, Colorado",8148,7060
08,077,"Mesa County, Colorado",64559,59511
08,079,"Mineral County, Colorado",434,399
08,081,"Moffat County, Colorado",5303,4606
08,083,"Montezuma County, Colorado",10915,8998
08,085,"Montrose County, Colorado",17529,14886
08,087,"Morgan County, Colorado",11033,10032
08,089,"Otero County, Colorado",7643,6538
08,091,"Ouray County, Colorado",2514,2313
08,093,"Park County, Colorado",8447,7738
08,095,"Phillips County, Colorado",1859,1580
08,097,"Pitkin County, Colorado",9031,8401
08,099,"Prowers County, Colorado",4564,3818
08,101,"Pueblo County, Colorado",67816,58856
08,103,"Rio Blanco County, Colorado",2587,2442
08,105,"Rio Grande County, Colorado",5032,4080
08,107,"Routt County, Colorado",10619,9770
08,109,"Saguache County, Colorado",3261,2795
08,111,"San Juan County, Colorado",362,302
08,113,"San Miguel County, Colorado",3998,3541
08,115,"Sedgwick County, Colorado",1000,865
08,117,"Summit County, Colorado",12347,11989
08,119,"Teller County, Colorado",11253,10399
08,121,"Washington County, Colorado",2070,1796
08,123,"Weld County, Colorado",120019,110425
08,125,"Yuma County, Colorado",3957,3551
09,110,"Capitol Planning Region, Connecticut",389086,352824
09,120,"Greater Bridgeport Planning Region, Connecticut",118335,106750
09,130,"Lower Connecticut River Valley Planning Region, Connecticut",73624,67232
09,140,"Naugatuck Valley Planning Region, Connecticut",178340,159259
09,150,"Northeastern Connecticut Planning Region, Connecticut",39155,35401
09,160,"Northwest Hills Planning Region, Connecticut",47035,43529
09,170,"South Central Connecticut Planning Region, Connecticut",227739,208812
09,180,"Southeastern Connecticut Planning Region, Connecticut",114577,103934
09,190,"Western Connecticut Planning Region, Connecticut",232279,218948
10,001,"Kent County, Delaware",70053,63456
10,003,"New Castle County, Delaware",222943,206194
10,005,"Sussex County, Delaware",103213,93023
11,001,"District of Columbia, District of Columbia",321556,290243
12,001,"Alachua County, Florida",112776,99086
12,003,"Baker County, Florida",9012,7998
12,005,"Bay County, Florida",76118,69766
12,007,"Bradford County, Florida",9104,8055
12,009,"Brevard County, Florida",251889,232178
12,011,"Broward County, Florida",749372,682175
12,013,"Calhoun County, Florida",4625,3963
12,015,"Charlotte County, Florida",87376,79537
12,017,"Citrus County, Florida",69701,62569
12,019,"Clay County, Florida",81757,77207
12,021,"Collier County, Florida",160867,147789
12,023,"Columbia County, Florida",26720,23275
12,027,"DeSoto County, Florida",12656,10404
12,029,"Dixie County, Florida",6130,4514
12,031,"Duval County, Florida",405139,364656
12,033,"Escambia County, Florida",128292,115575
12,035,"Flagler County, Florida",50296,43266
12,037,"Franklin County, Florida",4918,4338
12,039,"Gadsden County, Florida",16485,12452
12,041,"Gilchrist County, Florida",6913,5628
12,043,"Glades County, Florida",4560,3575
12,045,"Gulf County, Florida",5800,5062
12,047,"Hamilton County, Florida",4360,3367
12,049,"Hardee County, Florida",8148,6623
12,051,"Hendry County, Florida",13944,11572
12,053,"Hernando County, Florida",80544,73450
12,055,"Highlands County, Florida",45943,39013
12,057,"Hillsborough County, Florida",569998,531074
12,059,"Holmes County, Florida",7087,5403
12,061,"Indian River County, Florida",68696,60873
12,063,"Jackson County, Florida",17038,13737
12,065,"Jefferson County, Florida",5675,4221
12,067,"Lafayette County, Florida",2619,2240
12,069,"Lake County, Florida",159474,145905
12,071,"Lee County, Florida",319588,292012
12,073,"Leon County, Florida",120673,109511
12,075,"Levy County, Florida",17976,13971
12,077,"Liberty County, Florida",2554,2031
12,079,"Madison County, Florida",6980,5097
12,081,"Manatee County, Florida",168504,153186
12,083,"Marion County, Florida",159796,144732
12,085,"Martin County, Florida",67820,61743
12,086,"Miami-Dade County, Florida",964805,840025
12,087,"Monroe County, Florida",34630,30504
12,089,"Nassau County, Florida",38112,36010
12,091,"Okaloosa County, Florida",84123,77557
12,093,"Okeechobee County, Florida",15187,12671
12,095,"Orange County, Florida",508907,473456
12,097,"Osceola County, Florida",131365,120699
12,099,"Palm Beach County, Florida",597053,538865
12,101,"Pasco County, Florida",229860,206672
12,103,"Pinellas County, Florida",423242,378886
12,105,"Polk County, Florida",276643,244843
12,107,"Putnam County, Florida",30650,25819
12,109,"St. Johns County, Florida",108827,102698
12,111,"St. Lucie County, Florida",131640,120306
12,113,"Santa Rosa County, Florida",71250,66273
12,115,"Sarasota County, Florida",205503,188845
12,117,"Seminole County, Florida",185396,174178
12,119,"Sumter County, Florida",66941,60844
12,121,"Suwannee County, Florida",15567,13274
12,123,"Taylor County, Florida",7571,6153
12,125,"Union County, Florida",4192,3761
12,127,"Volusia County, Florida",237396,213411
12,129,"Wakulla County, Florida",12187,10928
12,131,"Walton County, Florida",32659,29564
12,133,"Washington County, Florida",9282,7806
13,001,"Appling County, Georgia",7037,5086
13,003,"Atkinson County, Georgia",3189,2510
13,005,"Bacon County, Georgia",4013,3285
13,007,"Baker County, Georgia",1114,645
13,009,"Baldwin County, Georgia",16075,14004
13,011,"Banks County, Georgia",6787,5742
13,013,"Barrow County, Georgia",29770,27667
13,015,"Bartow County, Georgia",39664,33568
13,017,"Ben Hill County, Georgia",7162,5183
13,019,"Berrien County, Georgia",6881,5531
13,021,"Bibb County, Georgia",59681,50939
13,023,"Bleckley County, Georgia",4283,3075
13,025,"Brantley County, Georgia",6828,5170
13,027,"Brooks County, Georgia",5994,4260
13,029,"Bryan County, Georgia",15821,14521
13,031,"Bulloch County, Georgia",30276,26093
13,033,"Burke County, Georgia",9097,7553
13,035,"Butts County, Georgia",8751,7525
13,037,"Calhoun County, Georgia",1508,1160
13,039,"Camden County, Georgia",21024,18848
13,043,"Candler County, Georgia",4183,3383
13,045,"Carroll County, Georgia",43598,38644
13,047,"Catoosa County, Georgia",26139,23112
13,049,"Charlton County, Georgia",4086,3345
13,051,"Chatham County, Georgia",119241,109311
13,053,"Chattahoochee County, Georgia",1897,1597
13,055,"Chattooga County, Georgia",9142,7588
13,057,"Cherokee County, Georgia",99132,94175
13,059,"Clarke County, Georgia",54161,49559
13,061,"Clay County, Georgia",1179,891
13,063,"Clayton County, Georgia",105626,95106
13,065,"Clinch County, Georgia",2470,1780
13,067,"Cobb County, Georgia",293410,281491
13,069,"Coffee County, Georgia",15318,12681
13,071,"Colquitt County, Georgia",16807,13670
13,073,"Columbia County, Georgia",52083,47318
13,075,"Cook County, Georgia",6323,4835
13,077,"Coweta County, Georgia",55290,50895
13,079,"Crawford County, Georgia",4390,3379
13,081,"Crisp County, Georgia",7966,5863
13,083,"Dade County, Georgia",6178,5224
13,085,"Dawson County, Georgia",10844,9991
13,087,"Decatur County, Georgia",10474,7549
13,089,"DeKalb County, Georgia",284681,262799
13,091,"Dodge County, Georgia",6657,4832
13,093,"Dooly County, Georgia",3919,2605
13,095,"Dougherty County, Georgia",34280,27580
13,097,"Douglas County, Georgia",51339,47748
13,099,"Early County, Georgia",4043,2460
13,101,"Echols County, Georgia",1209,823
13,103,"Effingham County, Georgia",23555,19316
13,105,"Elbert County, Georgia",8245,6356
13,107,"Emanuel County, Georgia",8267,6836
13,109,"Evans County, Georgia",3876,3055
13,111,"Fannin County, Georgia",11361,10050
13,113,"Fayette County, Georgia",43669,41450
13,115,"Floyd County, Georgia",36688,31952
13,117,"Forsyth County, Georgia",86688,84312
13,119,"Franklin County, Georgia",8774,7036
13,121,"Fulton County, Georgia",457791,423629
13,123,"Gilmer County, Georgia",12612,11155
13,125,"Glascock County, Georgia",1042,653
13,127,"Glynn County, Georgia",34625,29551
13,129,"Gordon County, Georgia",20841,17096
13,131,"Grady County, Georgia",10073,8403
13,133,"Greene County, Georgia",7846,6668
13,135,"Gwinnett County, Georgia",322852,301220
13,137,"Habersham County, Georgia",16048,14084
13,139,"Hall County, Georgia",71263,66397
13,141,"Hancock County, Georgia",2852,1717
13,143,"Haralson County, Georgia",11510,9660
13,145,"Harris County, Georgia",12637,10932
13,147,"Hart County, Georgia",10543,8939
13,149,"Heard County, Georgia",4342,3232
13,151,"Henry County, Georgia",84498,78194
13,153,"Houston County, Georgia",62158,57136
13,155,"Irwin County, Georgia",3725,2925
13,157,"Jackson County, Georgia",26976,24735
13,159,"Jasper County, Georgia",5812,4656
13,161,"Jeff Davis County, Georgia",5368,4036
13,163,"Jefferson County, Georgia",5838,4632
13,165,"Jenkins County, Georgia",3067,2179
13,167,"Johnson County, Georgia",3235,2614
13,169,"Jones County, Georgia",10771,9489
13,171,"Lamar County, Georgia",7000,5879
13,173,"Lanier County, Georgia",3442,2967
13,175,"Laurens County, Georgia",18133,14896
13,177,"Lee County, Georgia",11960,10702
13,179,"Liberty County, Georgia",23406,21784
13,181,"Lincoln County, Georgia",2976,1820
13,183,"Long County, Georgia",5836,5258
13,185,"Lowndes County, Georgia",44928,36534
13,187,"Lumpkin County, Georgia",11374,10348
13,189,"McDuffie County, Georgia",8298,6220
13,191,"McIntosh County, Georgia",4784,3964
13,193,"Macon County, Georgia",3970,2926
13,195,"Madison County, Georgia",10895,9503
13,197,"Marion County, Georgia",2950,2142
13,199,"Meriwether County, Georgia",8170,6635
13,201,"Miller County, Georgia",2482,1575
13,205,"Mitchell County, Georgia",7995,6212
13,207,"Monroe County, Georgia",10423,9200
13,209,"Montgomery County, Georgia",3021,2454
13,211,"Morgan County, Georgia",7793,6730
13,213,"Murray County, Georgia",15258,12875
13,215,"Muscogee County, Georgia",80600,70618
13,217,"Newton County, Georgia",40531,37989
13,219,"Oconee County, Georgia",14721,13935
13,221,"Oglethorpe County, Georgia",5242,4152
13,223,"Paulding County, Georgia",58608,55607
13,225,"Peach County, Georgia",10284,8698
13,227,"Pickens County, Georgia",13054,11977
13,229,"Pierce County, Georgia",7496,5980
13,231,"Pike County, Georgia",6505,5297
13,233,"Polk County, Georgia",15588,13266
13,235,"Pulaski County, Georgia",3284,2245
13,237,"Putnam County, Georgia",10134,8651
13,239,"Quitman County, Georgia",935,593
13,241,"Rabun County, Georgia",7113,6354
13,243,"Randolph County, Georgia",2644,2144
13,245,"Richmond County, Georgia",75023,64393
13,247,"Rockdale County, Georgia",33959,30972
13,249,"Schley County, Georgia",1627,1307
13,251,"Screven County, Georgia",4763,3887
13,253,"Seminole County, Georgia",3672,2398
13,255,"Spalding County, Georgia",26535,22581
13,257,"Stephens County, Georgia",10276,8414
13,259,"Stewart County, Georgia",1756,1170
13,261,"Sumter County, Georgia",10848,9240
13,263,"Talbot County, Georgia",2532,1823
13,265,"Taliaferro County, Georgia",644,431
13,267,"Tattnall County, Georgia",7551,5980
13,269,"Taylor County, Georgia",3061,2273
13,271,"Telfair County, Georgia",3123,2413
13,273,"Terrell County, Georgia",3355,2591
13,275,"Thomas County, Georgia",18369,15502
13,277,"Tift County, Georgia",15541,11517
13,279,"Toombs County, Georgia",10127,8311
13,281,"Towns County, Georgia",5819,5094
13,283,"Treutlen County, Georgia",2307,1688
13,285,"Troup County, Georgia",26222,22576
13,287,"Turner County, Georgia",3298,2313
13,289,"Twiggs County, Georgia",2849,2075
13,291,"Union County, Georgia",11012,9766
13,293,"Upson County, Georgia",10377,8635
13,295,"Walker County, Georgia",26181,22592
13,297,"Walton County, Georgia",34951,31612
13,299,"Ware County, Georgia",12866,9323
13,301,"Warren County, Georgia",1999,1237
13,303,"Washington County, Georgia",7272,5873
13,305,"Wayne County, Georgia",11045,9284
13,307,"Webster County, Georgia",849,607
13,309,"Wheeler County, Georgia",1545,1196
13,311,"White County, Georgia",10422,9062
13,313,"Whitfield County, Georgia",36101,31570
13,315,"Wilcox County, Georgia",2504,1795
13,317,"Wilkes County, Georgia",4108,2525
13,319,"Wilkinson County, Georgia",3347,2596
13,321,"Worth County, Georgia",7876,5845
15,001,"Hawaii County, Hawaii",72958,65587
15,003,"Honolulu County, Hawaii",337061,308940
15,005,"Kalawao County, Hawaii",22,21
15,007,"Kauai County, Hawaii",23465,22027
15,009,"Maui County, Hawaii",55485,49420
16,001,"Ada County, Idaho",196700,186114
16,003,"Adams County, Idaho",1752,1418
16,005,"Bannock County, Idaho",33340,29245
16,007,"Bear Lake County, Idaho",2308,2069
16,009,"Benewah County, Idaho",3978,3303
16,011,"Bingham County, Idaho",16009,14356
16,013,"Blaine County, Idaho",9822,9379
16,015,"Boise County, Idaho",3524,3229
16,017,"Bonner County, Idaho",19599,17161
16,019,"Bonneville County, Idaho",43378,40145
16,021,"Boundary County, Idaho",4835,4388
16,023,"Butte County, Idaho",1017,892
16,025,"Camas County, Idaho",339,292
16,027,"Canyon County, Idaho",82864,76972
16,029,"Caribou County, Idaho",2430,2265
16,031,"Cassia County, Idaho",8238,7295
16,033,"Clark County, Idaho",252,213
16,035,"Clearwater County, Idaho",3561,2942
16,037,"Custer County, Idaho",1933,1672
16,039,"Elmore County, Idaho",10848,9897
16,041,"Franklin County, Idaho",4870,4652
16,043,"Fremont County, Idaho",4506,4190
16,045,"Gem County, Idaho",7406,6656
16,047,"Gooding County, Idaho",5512,4698
16,049,"Idaho County, Idaho",6567,5526
16,051,"Jefferson County, Idaho",9899,9356
16,053,"Jerome County, Idaho",8198,7159
16,055,"Kootenai County, Idaho",69104,63023
16,057,"Latah County, Idaho",16058,14436
16,059,"Lemhi County, Idaho",3350,2850
16,061,"Lewis County, Idaho",1546,1239
16,063,"Lincoln County, Idaho",1836,1536
16,065,"Madison County, Idaho",12778,10114
16,067,"Minidoka County, Idaho",7814,6771
16,069,"Nez Perce County, Idaho",17250,15025
16,071,"Oneida County, Idaho",1932,1658
16,073,"Owyhee County, Idaho",4248,3603
16,075,"Payette County, Idaho",9481,8235
16,077,"Power County, Idaho",2708,2435
16,079,"Shoshone County, Idaho",5679,4846
16,081,"Teton County, Idaho",4573,4302
16,083,"Twin Falls County, Idaho",33912,30585
16,085,"Valley County, Idaho",3778,3456
16,087,"Washington County, Idaho",4089,3542
17,001,"Adams County, Illinois",27770,23488
17,003,"Alexander County, Illinois",1826,1070
17,005,"Bond County, Illinois",6256,5341
17,007,"Boone County, Illinois",19155,17064
17,009,"Brown County, Illinois",2021,1660
17,011,"Bureau County, Illinois",14011,11758
17,013,"Calhoun County, Illinois",1222,1058
17,015,"Carroll County, Illinois",6478,5555
17,017,"Cass County, Illinois",5135,4369
17,019,"Champaign County, Illinois",83777,74517
17,021,"Christian County, Illinois",13534,11371
17,023,"Clark County, Illinois",6597,5754
17,025,"Clay County, Illinois",5431,4649
17,027,"Clinton County, Illinois",14463,12982
17,029,"Coles County, Illinois",20335,17621
17,031,"Cook County, Illinois",2084578,1861623
17,033,"Crawford County, Illinois",7411,6587
17,035,"Cumberland County, Illinois",4180,3584
17,037,"DeKalb County, Illinois",39314,36508
17,039,"De Witt County, Illinois",6642,5667
17,041,"Douglas County, Illinois",7821,6289
17,043,"DuPage County, Illinois",349497,330249
17,045,"Edgar County, Illinois",7612,6575
17,047,"Edwards County, Illinois",2653,2219
