fips_code,county_name,state_name,pop25,pop_25plus_highschool_plus,pop_25plus_bachelor_plus
06007,Butte County,California,136246,123067,43218
06009,Calaveras County,California,35694,33319,7919
06011,Colusa County,California,13970,10225,2029
06013,Contra Costa County,California,810988,726747,364216
06015,Del Norte County,California,19853,16983,4164
06017,El Dorado County,California,141832,134622,55065
06019,Fresno County,California,631185,496092,150566
06021,Glenn County,California,18626,14961,3070
06023,Humboldt County,California,93495,85565,29998
06025,Imperial County,California,110582,79450,17804
06027,Inyo County,California,13897,12897,4422
06029,Kern County,California,558810,431038,103791
06031,Kings County,California,95545,70928,13299
06033,Lake County,California,48935,42615,8683
06035,Lassen County,California,23326,18461,3082
06037,Los Angeles County,California,6911969,5575412,2451744
06039,Madera County,California,100299,73266,17180
06041,Marin County,California,189953,176152,114844
06043,Mariposa County,California,13392,12116,4133
06045,Mendocino County,California,65191,56170,16248
06047,Merced County,California,171486,123280,25346
06049,Modoc County,California,6438,5662,1481
06051,Mono County,California,9650,8642,3312
06053,Monterey County,California,279274,204805,77872
06055,Napa County,California,97837,82875,37684
06057,Nevada County,California,79227,75320,31263
06059,Orange County,California,2205127,1917227,957048
06061,Placer County,California,292101,277276,125284
06063,Plumas County,California,15208,14293,3112
06065,Riverside County,California,1622575,1351604,407007
06067,Sacramento County,California,1087094,960638,361826
06069,San Benito County,California,43450,36167,9727
06071,San Bernardino County,California,1407239,1155263,322278
06073,San Diego County,California,2269135,2019932,955076
06075,San Francisco County,California,669238,594267,402351
06077,San Joaquin County,California,504845,406050,108910
06079,San Luis Obispo County,California,190233,174577,74574
06081,San Mateo County,California,543153,490494,288258
06083,Santa Barbara County,California,278456,228713,99882
06085,Santa Clara County,California,1338186,1195347,747586
06087,Santa Cruz County,California,179687,159011,78268
06089,Shasta County,California,128987,118758,30011
06091,Sierra County,California,2184,1996,533
06093,Siskiyou County,California,32183,29310,7429
06095,Solano County,California,313970,279182,89064
06097,Sonoma County,California,353701,314312,133865
06099,Stanislaus County,California,352585,282467,67474
06101,Sutter County,California,65268,51454,13189
06103,Tehama County,California,44934,38769,8467
06105,Trinity County,California,12296,11653,2219
06107,Tulare County,California,284744,211759,45102
06109,Tuolumne County,California,41922,39205,10038
06111,Ventura County,California,578196,493135,206218
06113,Yolo County,California,130279,115182,57432
06115,Yuba County,California,52938,44818,9474
08001,Adams County,Colorado,343948,292307,96383
08003,Alamosa County,Colorado,9991,8902,2928
08005,Arapahoe County,Colorado,452547,416182,207006
08007,Archuleta County,Colorado,10872,10366,4426
08009,Baca County,Colorado,2492,2138,600
08011,Bent County,Colorado,4332,3517,614
08013,Boulder County,Colorado,219110,209307,140031
08014,Broomfield County,Colorado,53322,51230,31270
08015,Chaffee County,Colorado,15835,14979,7193
08017,Cheyenne County,Colorado,1242,1139,303
08019,Clear Creek County,Colorado,7465,7059,4200
08021,Conejos County,Colorado,5043,4491,1174
08023,Costilla County,Colorado,2686,2408,748
08025,Crowley County,Colorado,4243,3519,537
08027,Custer County,Colorado,4032,3889,1422
08029,Delta County,Colorado,23157,21074,5947
08031,Denver County,Colorado,526107,480629,292761
08033,Dolores County,Colorado,1967,1892,486
08035,Douglas County,Colorado,251056,246007,152978
08037,Eagle County,Colorado,39923,37195,20069
08039,Elbert County,Colorado,19612,18986,6898
08041,El Paso County,Colorado,486644,462826,200118
08043,Fremont County,Colorado,38428,34801,8084
08045,Garfield County,Colorado,41468,36676,13854
08047,Gilpin County,Colorado,4777,4494,2311
08049,Grand County,Colorado,12269,11577,5126
08051,Gunnison County,Colorado,11408,11211,6761
08053,Hinsdale County,Colorado,780,780,367
08055,Huerfano County,Colorado,5288,4913,1431
08057,Jackson County,Colorado,1093,923,301
08059,Jefferson County,Colorado,426997,407677,216684
08061,Kiowa County,Colorado,945,859,195
08063,Kit Carson County,Colorado,4719,4199,870
08065,Lake County,Colorado,5189,4771,2391
08067,La Plata County,Colorado,40853,39384,19307
08069,Larimer County,Colorado,243809,235623,126142
08071,Las Animas County,Colorado,10651,9545,1839
08073,Lincoln County,Colorado,4192,3692,1078
08075,Logan County,Colorado,15158,13548,2866
08077,Mesa County,Colorado,111117,102618,34032
08079,Mineral County,Colorado,684,669,373
08081,Moffat County,Colorado,9055,8286,1902
08083,Montezuma County,Colorado,19082,17357,5880
08085,Montrose County,Colorado,31320,28489,8853
08087,Morgan County,Colorado,19049,16116,3346
08089,Otero County,Colorado,12605,11244,2370
08091,Ouray County,Colorado,4290,4175,2315
08093,Park County,Colorado,14431,14042,5603
08095,Phillips County,Colorado,3017,2731,774
08097,Pitkin County,Colorado,13397,12995,8570
08099,Prowers County,Colorado,7580,6422,1428
08101,Pueblo County,Colorado,117554,106336,29409
08103,Rio Blanco County,Colorado,4340,4047,1154
08105,Rio Grande County,Colorado,8281,7399,2576
08107,Routt County,Colorado,18892,18235,9847
08109,Saguache County,Colorado,5060,4466,1554
08111,San Juan County,Colorado,559,559,264
08113,San Miguel County,Colorado,6323,6215,4123
08115,Sedgwick County,Colorado,1657,1512,454
08117,Summit County,Colorado,24023,22805,12604
08119,Teller County,Colorado,19593,18840,7412
08121,Washington County,Colorado,3412,3059,849
08123,Weld County,Colorado,222955,197220,71248
08125,Yuma County,Colorado,6608,5536,1716
09110,Capitol Planning Region,Connecticut,675851,616141,280403
09120,Greater Bridgeport Planning Region,Connecticut,220459,192364,91838
09130,Lower Connecticut River Valley Planning Region,Connecticut,129894,123695,59038
09140,Naugatuck Valley Planning Region,Connecticut,323618,292334,109346
09150,Northeastern Connecticut Planning Region,Connecticut,71008,65402,18575
09160,Northwest Hills Planning Region,Connecticut,84448,79432,33264
09170,South Central Connecticut Planning Region,Connecticut,396925,363848,163023
09180,Southeastern Connecticut Planning Region,Connecticut,197124,182621,68278
09190,Western Connecticut Planning Region,Connecticut,433526,397467,238638
10001,Kent County,Delaware,124582,112367,33311
10003,New Castle County,Delaware,398543,369016,156313
10005,Sussex County,Delaware,187317,167915,61002
11001,District of Columbia,District of Columbia,484406,449755,307906
12001,Alachua County,Florida,171905,161980,81947
12003,Baker County,Florida,18982,16171,2911
12005,Bay County,Florida,129787,117803,36394
12007,Bradford County,Florida,20241,16737,3035
12009,Brevard County,Florida,464289,432421,155722
12011,Broward County,Florida,1393045,1257620,498695
12013,Calhoun County,Florida,9946,8136,1303
12015,Charlotte County,Florida,162384,149793,41100
12017,Citrus County,Florida,126772,115219,25862
12019,Clay County,Florida,155026,144682,44484
12021,Collier County,Florida,299749,269719,118525
