fips_code,county_name,state_name,pct_households_owner_occupied,pct_households_renter_occupied
06069,San Benito County,California,67.4,32.6
06071,San Bernardino County,California,61.5,38.5
06073,San Diego County,California,54.5,45.5
06075,San Francisco County,California,38.5,61.5
06077,San Joaquin County,California,61.5,38.5
06079,San Luis Obispo County,California,61.9,38.1
06081,San Mateo County,California,59.1,40.9
06083,Santa Barbara County,California,52.9,47.1
06085,Santa Clara County,California,55.3,44.7
06087,Santa Cruz County,California,60.0,40.0
06089,Shasta County,California,65.4,34.6
06091,Sierra County,California,78.3,21.7
06093,Siskiyou County,California,69.7,30.3
06095,Solano County,California,63.2,36.8
06097,Sonoma County,California,62.2,37.8
06099,Stanislaus County,California,61.0,39.0
06101,Sutter County,California,59.2,40.8
06103,Tehama County,California,67.6,32.4
06105,Trinity County,California,73.0,27.0
06107,Tulare County,California,58.6,41.4
06109,Tuolumne County,California,74.1,25.9
06111,Ventura County,California,64.2,35.8
06113,Yolo County,California,53.6,46.4
06115,Yuba County,California,63.3,36.7
08001,Adams County,Colorado,68.9,31.1
08003,Alamosa County,Colorado,56.4,43.6
08005,Arapahoe County,Colorado,65.1,34.9
08007,Archuleta County,Colorado,77.5,22.5
08009,Baca County,Colorado,71.9,28.1
08011,Bent County,Colorado,66.1,33.9
08013,Boulder County,Colorado,62.5,37.5
08014,Broomfield County,Colorado,62.6,37.4
08015,Chaffee County,Colorado,72.9,27.1
08017,Cheyenne County,Colorado,72.7,27.3
08019,Clear Creek County,Colorado,82.6,17.4
08021,Conejos County,Colorado,74.5,25.5
08023,Costilla County,Colorado,78.5,21.5
08025,Crowley County,Colorado,65.8,34.2
08027,Custer County,Colorado,85.7,14.3
08029,Delta County,Colorado,76.4,23.6
08031,Denver County,Colorado,49.1,50.9
08033,Dolores County,Colorado,84.1,15.9
08035,Douglas County,Colorado,77.8,22.2
08037,Eagle County,Colorado,67.6,32.4
08039,Elbert County,Colorado,94.4,5.6
08041,El Paso County,Colorado,66.4,33.6
08043,Fremont County,Colorado,76.2,23.8
08045,Garfield County,Colorado,69.7,30.3
08047,Gilpin County,Colorado,79.6,20.4
08049,Grand County,Colorado,76.4,23.6
08051,Gunnison County,Colorado,66.9,33.1
08053,Hinsdale County,Colorado,79.7,20.3
08055,Huerfano County,Colorado,77.3,22.7
08057,Jackson County,Colorado,73.2,26.8
08059,Jefferson County,Colorado,70.6,29.4
08061,Kiowa County,Colorado,69.7,30.3
08063,Kit Carson County,Colorado,68.3,31.7
08065,Lake County,Colorado,76.0,24.0
08067,La Plata County,Colorado,71.0,29.0
08069,Larimer County,Colorado,64.3,35.7
08071,Las Animas County,Colorado,70.1,29.9
08073,Lincoln County,Colorado,71.1,28.9
08075,Logan County,Colorado,68.3,31.7
08077,Mesa County,Colorado,71.9,28.1
08079,Mineral County,Colorado,73.7,26.3
08081,Moffat County,Colorado,72.1,27.9
08083,Montezuma County,Colorado,74.8,25.2
08085,Montrose County,Colorado,74.6,25.4
08087,Morgan County,Colorado,65.1,34.9
08089,Otero County,Colorado,68.9,31.1
08091,Ouray County,Colorado,78.0,22.0
08093,Park County,Colorado,87.4,12.6
