FIPS Code,County Name,State Name,median_age,sex_ratio
08003,Alamosa County,Colorado,33.1,97.5
08005,Arapahoe County,Colorado,37.3,99.6
08007,Archuleta County,Colorado,52.2,100.1
08009,Baca County,Colorado,43.0,100.2
08011,Bent County,Colorado,41.7,164.4
08013,Boulder County,Colorado,37.5,101.9
08014,Broomfield County,Colorado,38.8,101.4
08015,Chaffee County,Colorado,47.6,109.8
08017,Cheyenne County,Colorado,43.0,106.2
08019,Clear Creek County,Colorado,49.2,106.8
08021,Conejos County,Colorado,38.8,100.8
08023,Costilla County,Colorado,50.7,101.8
08025,Crowley County,Colorado,39.6,227.5
08027,Custer County,Colorado,58.6,101.8
08029,Delta County,Colorado,48.4,98.9
08031,Denver County,Colorado,35.2,101.8
08033,Dolores County,Colorado,57.2,116.4
08035,Douglas County,Colorado,39.5,101.4
08037,Eagle County,Colorado,39.3,116.6
08039,Elbert County,Colorado,44.8,103.8
08041,El Paso County,Colorado,35.0,103.4
08043,Fremont County,Colorado,44.9,138.9
08045,Garfield County,Colorado,37.2,105.7
08047,Gilpin County,Colorado,48.7,121.2
08049,Grand County,Colorado,45.5,105.0
08051,Gunnison County,Colorado,37.0,121.4
08053,Hinsdale County,Colorado,54.8,98.1
08055,Huerfano County,Colorado,55.1,115.2
08057,Jackson County,Colorado,51.5,118.1
08059,Jefferson County,Colorado,40.4,101.2
08061,Kiowa County,Colorado,43.9,89.7
08063,Kit Carson County,Colorado,39.0,102.4
08065,Lake County,Colorado,36.9,103.5
08067,La Plata County,Colorado,42.3,102.5
08069,Larimer County,Colorado,36.6,99.9
08071,Las Animas County,Colorado,46.5,111.4
08073,Lincoln County,Colorado,40.7,144.1
08075,Logan County,Colorado,39.1,118.7
08077,Mesa County,Colorado,40.8,98.3
08079,Mineral County,Colorado,53.7,103.3
08081,Moffat County,Colorado,37.9,103.7
08083,Montezuma County,Colorado,44.5,100.6
08085,Montrose County,Colorado,45.7,99.8
08087,Morgan County,Colorado,36.9,106.5
08089,Otero County,Colorado,40.9,98.9
08091,Ouray County,Colorado,55.6,107.3
08093,Park County,Colorado,51.7,111.0
08095,Phillips County,Colorado,40.3,92.8
08097,Pitkin County,Colorado,47.3,107.7
08099,Prowers County,Colorado,38.5,100.4
08101,Pueblo County,Colorado,40.4,98.6
08103,Rio Blanco County,Colorado,39.1,110.8
08105,Rio Grande County,Colorado,43.2,102.3
08107,Routt County,Colorado,42.6,110.3
08109,Saguache County,Colorado,49.8,105.1
08111,San Juan County,Colorado,42.2,121.2
08113,San Miguel County,Colorado,42.7,133.7
08115,Sedgwick County,Colorado,42.9,102.9
08117,Summit County,Colorado,39.2,121.0
08119,Teller County,Colorado,52.0,104.6
08121,Washington County,Colorado,41.2,110.2
08123,Weld County,Colorado,35.2,103.1
08125,Yuma County,Colorado,39.6,104.2
09110,Capitol Planning Region,Connecticut,40.2,96.0
09120,Greater Bridgeport Planning Region,Connecticut,40.0,96.2
09130,Lower Connecticut River Valley Planning Region,Connecticut,45.8,97.3
09140,Naugatuck Valley Planning Region,Connecticut,41.9,95.6
09150,Northeastern Connecticut Planning Region,Connecticut,43.9,99.6
09160,Northwest Hills Planning Region,Connecticut,47.1,99.9
09170,South Central Connecticut Planning Region,Connecticut,40.2,93.5
09180,Southeastern Connecticut Planning Region,Connecticut,41.0,100.3
09190,Western Connecticut Planning Region,Connecticut,41.5,96.6
10001,Kent County,Delaware,38.5,93.0
10003,New Castle County,Delaware,39.2,94.3
10005,Sussex County,Delaware,51.4,94.4
11001,District of Columbia,District of Columbia,34.9,90.9
12001,Alachua County,Florida,32.2,93.0
12003,Baker County,Florida,38.1,111.3
12005,Bay County,Florida,41.4,98.8
12007,Bradford County,Florida,40.5,119.5
12009,Brevard County,Florida,46.8,97.1
12011,Broward County,Florida,41.3,96.2
12013,Calhoun County,Florida,41.8,127.5
12015,Charlotte County,Florida,60.0,96.8
12017,Citrus County,Florida,56.9,96.0
12019,Clay County,Florida,40.2,97.6
12021,Collier County,Florida,53.1,97.4
12023,Columbia County,Florida,40.7,106.6
12027,DeSoto County,Florida,42.8,122.3
12029,Dixie County,Florida,45.8,121.9
12031,Duval County,Florida,36.7,94.3
12033,Escambia County,Florida,38.1,97.3
12035,Flagler County,Florida,52.6,93.5
12037,Franklin County,Florida,49.2,126.0
12039,Gadsden County,Florida,42.0,92.0
12041,Gilchrist County,Florida,42.7,107.9
12043,Glades County,Florida,45.8,129.5
12045,Gulf County,Florida,47.3,134.7
12047,Hamilton County,Florida,40.6,125.1
12049,Hardee County,Florida,35.9,117.6
12051,Hendry County,Florida,35.7,121.3
12053,Hernando County,Florida,48.1,94.5
12055,Highlands County,Florida,54.2,96.0
12057,Hillsborough County,Florida,37.8,97.0
12059,Holmes County,Florida,42.4,113.9
12061,Indian River County,Florida,55.0,94.0
12063,Jackson County,Florida,42.9,118.0
12065,Jefferson County,Florida,47.0,109.2
12067,Lafayette County,Florida,41.8,144.0
12069,Lake County,Florida,46.7,94.9
12071,Lee County,Florida,49.3,96.8
12073,Leon County,Florida,31.9,89.9
12075,Levy County,Florida,47.1,95.6
12077,Liberty County,Florida,39.1,131.0
12079,Madison County,Florida,44.9,111.2
12081,Manatee County,Florida,49.4,94.3
12083,Marion County,Florida,48.2,93.3
12085,Martin County,Florida,53.2,98.0
12086,Miami-Dade County,Florida,40.8,96.1
12087,Monroe County,Florida,48.9,107.4
12089,Nassau County,Florida,46.3,98.3
12091,Okaloosa County,Florida,37.3,103.2
12093,Okeechobee County,Florida,40.7,117.2
12095,Orange County,Florida,36.4,97.0
12097,Osceola County,Florida,37.0,98.4
12099,Palm Beach County,Florida,45.4,95.2
12101,Pasco County,Florida,43.7,95.8
12103,Pinellas County,Florida,48.9,93.4
