fips_code,county_name,state_name,households,households_with_internet
06089,Shasta County,California,71473,64184
06091,Sierra County,California,1206,893
06093,Siskiyou County,California,18907,16431
06095,Solano County,California,155800,145427
06097,Sonoma County,California,190498,179555
06099,Stanislaus County,California,176457,160792
06101,Sutter County,California,33240,29450
06103,Tehama County,California,24526,21169
06105,Trinity County,California,5373,4263
06107,Tulare County,California,142026,124905
06109,Tuolumne County,California,22809,20168
06111,Ventura County,California,278045,259103
06113,Yolo County,California,76640,70344
06115,Yuba County,California,28063,25700
08001,Adams County,Colorado,184964,170596
08003,Alamosa County,Colorado,6570,5923
08005,Arapahoe County,Colorado,253890,239525
08007,Archuleta County,Colorado,5904,5288
08009,Baca County,Colorado,1593,1315
08011,Bent County,Colorado,1875,1563
08013,Boulder County,Colorado,135230,128524
08014,Broomfield County,Colorado,30921,29703
08015,Chaffee County,Colorado,9195,7971
08017,Cheyenne County,Colorado,751,667
08019,Clear Creek County,Colorado,4512,4206
08021,Conejos County,Colorado,3112,2505
08023,Costilla County,Colorado,1574,1314
08025,Crowley County,Colorado,1333,1084
08027,Custer County,Colorado,2448,1969
08029,Delta County,Colorado,12648,10211
08031,Denver County,Colorado,329578,304266
08033,Dolores County,Colorado,1238,921
08035,Douglas County,Colorado,136130,133014
08037,Eagle County,Colorado,20911,19902
08039,Elbert County,Colorado,9657,9133
08041,El Paso County,Colorado,283174,268002
08043,Fremont County,Colorado,17695,14966
08045,Garfield County,Colorado,23071,21271
08047,Gilpin County,Colorado,3076,2750
08049,Grand County,Colorado,6460,5992
08051,Gunnison County,Colorado,7903,7374
08053,Hinsdale County,Colorado,473,443
08055,Huerfano County,Colorado,2836,2204
08057,Jackson County,Colorado,634,528
08059,Jefferson County,Colorado,240031,227006
08061,Kiowa County,Colorado,574,485
08063,Kit Carson County,Colorado,2914,2587
08065,Lake County,Colorado,2959,2661
08067,La Plata County,Colorado,23200,20500
08069,Larimer County,Colorado,151571,140753
08071,Las Animas County,Colorado,6701,5742
08073,Lincoln County,Colorado,1970,1540
08075,Logan County,Colorado,8148,7060
08077,Mesa County,Colorado,64559,59511
08079,Mineral County,Colorado,434,399
08081,Moffat County,Colorado,5303,4606
08083,Montezuma County,Colorado,10915,8998
08085,Montrose County,Colorado,17529,14886
08087,Morgan County,Colorado,11033,10032
08089,Otero County,Colorado,7643,6538
08091,Ouray County,Colorado,2514,2313
08093,Park County,Colorado,8447,7738
08095,Phillips County,Colorado,1859,1580
08097,Pitkin County,Colorado,9031,8401
08099,Prowers County,Colorado,4564,3818
08101,Pueblo County,Colorado,67816,58856
08103,Rio Blanco County,Colorado,2587,2442
08105,Rio Grande County,Colorado,5032,4080
08107,Routt County,Colorado,10619,9770
08109,Saguache County,Colorado,3261,2795
08111,San Juan County,Colorado,362,302
08113,San Miguel County,Colorado,3998,3541
08115,Sedgwick County,Colorado,1000,865
08117,Summit County,Colorado,12347,11989
08119,Teller County,Colorado,11253,10399
08121,Washington County,Colorado,2070,1796
08123,Weld County,Colorado,120019,110425
08125,Yuma County,Colorado,3957,3551
09110,Capitol Planning Region,Connecticut,389086,352824
09120,Greater Bridgeport Planning Region,Connecticut,118335,106750
09130,Lower Connecticut River Valley Planning Region,Connecticut,73624,67232
09140,Naugatuck Valley Planning Region,Connecticut,178340,159259
09150,Northeastern Connecticut Planning Region,Connecticut,39155,35401
09160,Northwest Hills Planning Region,Connecticut,47035,43529
09170,South Central Connecticut Planning Region,Connecticut,227739,208812
09180,Southeastern Connecticut Planning Region,Connecticut,114577,103934
09190,Western Connecticut Planning Region,Connecticut,232279,218948
10001,Kent County,Delaware,70053,63456
10003,New Castle County,Delaware,222943,206194
10005,Sussex County,Delaware,103213,93023
11001,District of Columbia,District of Columbia,321556,290243
12001,Alachua County,Florida,112776,99086
12003,Baker County,Florida,9012,7998
12005,Bay County,Florida,76118,69766
12007,Bradford County,Florida,9104,8055
12009,Brevard County,Florida,251889,232178
12011,Broward County,Florida,749372,682175
12013,Calhoun County,Florida,4625,3963
12015,Charlotte County,Florida,87376,79537
12017,Citrus County,Florida,69701,62569
12019,Clay County,Florida,81757,77207
12021,Collier County,Florida,160867,147789
12023,Columbia County,Florida,26720,23275
12027,DeSoto County,Florida,12656,10404
12029,Dixie County,Florida,6130,4514
12031,Duval County,Florida,405139,364656
12033,Escambia County,Florida,128292,115575
12035,Flagler County,Florida,50296,43266
12037,Franklin County,Florida,4918,4338
12039,Gadsden County,Florida,16485,12452
12041,Gilchrist County,Florida,6913,5628
12043,Glades County,Florida,4560,3575
12045,Gulf County,Florida,5800,5062
12047,Hamilton County,Florida,4360,3367
12049,Hardee County,Florida,8148,6623
12051,Hendry County,Florida,13944,11572
12053,Hernando County,Florida,80544,73450
12055,Highlands County,Florida,45943,39013
12057,Hillsborough County,Florida,569998,531074
12059,Holmes County,Florida,7087,5403
12061,Indian River County,Florida,68696,60873
12063,Jackson County,Florida,17038,13737
12065,Jefferson County,Florida,5675,4221
12067,Lafayette County,Florida,2619,2240
12069,Lake County,Florida,159474,145905
12071,Lee County,Florida,319588,292012
12073,Leon County,Florida,120673,109511
12075,Levy County,Florida,17976,13971
12077,Liberty County,Florida,2554,2031
12079,Madison County,Florida,6980,5097
12081,Manatee County,Florida,168504,153186
12083,Marion County,Florida,159796,144732
12085,Martin County,Florida,67820,61743
12086,Miami-Dade County,Florida,964805,840025
12087,Monroe County,Florida,34630,30504
12089,Nassau County,Florida,38112,36010
12091,Okaloosa County,Florida,84123,77557
12093,Okeechobee County,Florida,15187,12671
12095,Orange County,Florida,508907,473456
12097,Osceola County,Florida,131365,120699
12099,Palm Beach County,Florida,597053,538865
12101,Pasco County,Florida,229860,206672
12103,Pinellas County,Florida,423242,378886
12105,Polk County,Florida,276643,244843
12107,Putnam County,Florida,30650,25819
12109,St. Johns County,Florida,108827,102698
12111,St. Lucie County,Florida,131640,120306
12113,Santa Rosa County,Florida,71250,66273
12115,Sarasota County,Florida,205503,188845
12117,Seminole County,Florida,185396,174178
12119,Sumter County,Florida,66941,60844
12121,Suwannee County,Florida,15567,13274
12123,Taylor County,Florida,7571,6153
12125,Union County,Florida,4192,3761
12127,Volusia County,Florida,237396,213411
12129,Wakulla County,Florida,12187,10928
12131,Walton County,Florida,32659,29564
12133,Washington County,Florida,9282,7806
13001,Appling County,Georgia,7037,5086
13003,Atkinson County,Georgia,3189,2510
13005,Bacon County,Georgia,4013,3285
13007,Baker County,Georgia,1114,645
13009,Baldwin County,Georgia,16075,14004
13011,Banks County,Georgia,6787,5742
13013,Barrow County,Georgia,29770,27667
13015,Bartow County,Georgia,39664,33568
13017,Ben Hill County,Georgia,7162,5183
13019,Berrien County,Georgia,6881,5531
13021,Bibb County,Georgia,59681,50939
13023,Bleckley County,Georgia,4283,3075
13025,Brantley County,Georgia,6828,5170
13027,Brooks County,Georgia,5994,4260
13029,Bryan County,Georgia,15821,14521
13031,Bulloch County,Georgia,30276,26093
13033,Burke County,Georgia,9097,7553
13035,Butts County,Georgia,8751,7525
13037,Calhoun County,Georgia,1508,1160
13039,Camden County,Georgia,21024,18848
13043,Candler County,Georgia,4183,3383
13045,Carroll County,Georgia,43598,38644
13047,Catoosa County,Georgia,26139,23112
13049,Charlton County,Georgia,4086,3345
13051,Chatham County,Georgia,119241,109311
13053,Chattahoochee County,Georgia,1897,1597
13055,Chattooga County,Georgia,9142,7588
13057,Cherokee County,Georgia,99132,94175
13059,Clarke County,Georgia,54161,49559
13061,Clay County,Georgia,1179,891
13063,Clayton County,Georgia,105626,95106
13065,Clinch County,Georgia,2470,1780
13067,Cobb County,Georgia,293410,281491
13069,Coffee County,Georgia,15318,12681
13071,Colquitt County,Georgia,16807,13670
13073,Columbia County,Georgia,52083,47318
13075,Cook County,Georgia,6323,4835
13077,Coweta County,Georgia,55290,50895
13079,Crawford County,Georgia,4390,3379
13081,Crisp County,Georgia,7966,5863
13083,Dade County,Georgia,6178,5224
13085,Dawson County,Georgia,10844,9991
13087,Decatur County,Georgia,10474,7549
13089,DeKalb County,Georgia,284681,262799
13091,Dodge County,Georgia,6657,4832
13093,Dooly County,Georgia,3919,2605
13095,Dougherty County,Georgia,34280,27580
13097,Douglas County,Georgia,51339,47748
13099,Early County,Georgia,4043,2460
13101,Echols County,Georgia,1209,823
13103,Effingham County,Georgia,23555,19316
13105,Elbert County,Georgia,8245,6356
13107,Emanuel County,Georgia,8267,6836
13109,Evans County,Georgia,3876,3055
13111,Fannin County,Georgia,11361,10050
13113,Fayette County,Georgia,43669,41450
13115,Floyd County,Georgia,36688,31952
13117,Forsyth County,Georgia,86688,84312
13119,Franklin County,Georgia,8774,7036
13121,Fulton County,Georgia,457791,423629
13123,Gilmer County,Georgia,12612,11155
13125,Glascock County,Georgia,1042,653
13127,Glynn County,Georgia,34625,29551
13129,Gordon County,Georgia,20841,17096
13131,Grady County,Georgia,10073,8403
13133,Greene County,Georgia,7846,6668
13135,Gwinnett County,Georgia,322852,301220
13137,Habersham County,Georgia,16048,14084
13139,Hall County,Georgia,71263,66397
13141,Hancock County,Georgia,2852,1717
13143,Haralson County,Georgia,11510,9660
13145,Harris County,Georgia,12637,10932
13147,Hart County,Georgia,10543,8939
13149,Heard County,Georgia,4342,3232
13151,Henry County,Georgia,84498,78194
13153,Houston County,Georgia,62158,57136
13155,Irwin County,Georgia,3725,2925
13157,Jackson County,Georgia,26976,24735
13159,Jasper County,Georgia,5812,4656
13161,Jeff Davis County,Georgia,5368,4036
13163,Jefferson County,Georgia,5838,4632
13165,Jenkins County,Georgia,3067,2179
13167,Johnson County,Georgia,3235,2614
13169,Jones County,Georgia,10771,9489
13171,Lamar County,Georgia,7000,5879
13173,Lanier County,Georgia,3442,2967
13175,Laurens County,Georgia,18133,14896
13177,Lee County,Georgia,11960,10702
13179,Liberty County,Georgia,23406,21784
13181,Lincoln County,Georgia,2976,1820
13183,Long County,Georgia,5836,5258
13185,Lowndes County,Georgia,44928,36534
13187,Lumpkin County,Georgia,11374,10348
13189,McDuffie County,Georgia,8298,6220
13191,McIntosh County,Georgia,4784,3964
13193,Macon County,Georgia,3970,2926
13195,Madison County,Georgia,10895,9503
13197,Marion County,Georgia,2950,2142
13199,Meriwether County,Georgia,8170,6635
13201,Miller County,Georgia,2482,1575
13205,Mitchell County,Georgia,7995,6212
13207,Monroe County,Georgia,10423,9200
13209,Montgomery County,Georgia,3021,2454
13211,Morgan County,Georgia,7793,6730
13213,Murray County,Georgia,15258,12875
13215,Muscogee County,Georgia,80600,70618
13217,Newton County,Georgia,40531,37989
13219,Oconee County,Georgia,14721,13935
13221,Oglethorpe County,Georgia,5242,4152
13223,Paulding County,Georgia,58608,55607
13225,Peach County,Georgia,10284,8698
13227,Pickens County,Georgia,13054,11977
13229,Pierce County,Georgia,7496,5980
13231,Pike County,Georgia,6505,5297
13233,Polk County,Georgia,15588,13266
13235,Pulaski County,Georgia,3284,2245
13237,Putnam County,Georgia,10134,8651
13239,Quitman County,Georgia,935,593
13241,Rabun County,Georgia,7113,6354
13243,Randolph County,Georgia,2644,2144
13245,Richmond County,Georgia,75023,64393
13247,Rockdale County,Georgia,33959,30972
13249,Schley County,Georgia,1627,1307
13251,Screven County,Georgia,4763,3887
13253,Seminole County,Georgia,3672,2398
13255,Spalding County,Georgia,26535,22581
13257,Stephens County,Georgia,10276,8414
13259,Stewart County,Georgia,1756,1170
13261,Sumter County,Georgia,10848,9240
13263,Talbot County,Georgia,2532,1823
13265,Taliaferro County,Georgia,644,431
13267,Tattnall County,Georgia,7551,5980
13269,Taylor County,Georgia,3061,2273
13271,Telfair County,Georgia,3123,2413
13273,Terrell County,Georgia,3355,2591
13275,Thomas County,Georgia,18369,15502
13277,Tift County,Georgia,15541,11517
13279,Toombs County,Georgia,10127,8311
13281,Towns County,Georgia,5819,5094
13283,Treutlen County,Georgia,2307,1688
13285,Troup County,Georgia,26222,22576
13287,Turner County,Georgia,3298,2313
13289,Twiggs County,Georgia,2849,2075
13291,Union County,Georgia,11012,9766
13293,Upson County,Georgia,10377,8635
13295,Walker County,Georgia,26181,22592
13297,Walton County,Georgia,34951,31612
