fips_code,county_name,state_name,latitude,longitude
31085,Hayes County,Nebraska,40.52476358124986,-101.06183427739387
31087,Hitchcock County,Nebraska,40.17632674203237,-101.04227319774458
31089,Holt County,Nebraska,42.45570698717621,-98.78382123591669
31091,Hooker County,Nebraska,41.91604847946313,-101.13528154766927
31093,Howard County,Nebraska,41.22006245617797,-98.51712354741542
31095,Jefferson County,Nebraska,40.17573075191731,-97.14272990162397
31097,Johnson County,Nebraska,40.39264214702376,-96.2651143545074
31099,Kearney County,Nebraska,40.506699717613245,-98.9480284100243
31101,Keith County,Nebraska,41.19884680932594,-101.66149255670355
31103,Keya Paha County,Nebraska,42.87887409032023,-99.71240238044459
31105,Kimball County,Nebraska,41.19776788546654,-103.71488666070321
31107,Knox County,Nebraska,42.63682233029751,-97.8919059142742
31109,Lancaster County,Nebraska,40.78416344106471,-96.68775401587709
31111,Lincoln County,Nebraska,41.04773257715328,-100.74529452079251
31113,Logan County,Nebraska,41.56656399773527,-100.48273040940165
31115,Loup County,Nebraska,41.91385408541987,-99.45439511284859
31117,McPherson County,Nebraska,41.5681529896564,-101.06043197434022
31119,Madison County,Nebraska,41.91668100838047,-97.60076235806571
31121,Merrick County,Nebraska,41.169017336437975,-98.03806324578396
31123,Morrill County,Nebraska,41.715985908605745,-103.01043783824693
31125,Nance County,Nebraska,41.397346390363744,-97.99218012460996
31127,Nemaha County,Nebraska,40.387646091789186,-95.84984551113237
31129,Nuckolls County,Nebraska,40.17637543915802,-98.04719368888584
31131,Otoe County,Nebraska,40.648495082305395,-96.13478658411316
31133,Pawnee County,Nebraska,40.13145754574271,-96.23706433061808
31135,Perkins County,Nebraska,40.85094457034984,-101.64966357404894
31137,Phelps County,Nebraska,40.51111044653864,-99.41455336455748
31139,Pierce County,Nebraska,42.26434320071018,-97.60129703513643
31141,Platte County,Nebraska,41.57127763526968,-97.52112106533717
31143,Polk County,Nebraska,41.186894393165524,-97.5684446822463
31145,Red Willow County,Nebraska,40.1758235153973,-100.47688870187244
31147,Richardson County,Nebraska,40.12504351107232,-95.71757370863934
31149,Rock County,Nebraska,42.421294791639866,-99.44990580918667
31151,Saline County,Nebraska,40.52406910713626,-97.14094938232016
31153,Sarpy County,Nebraska,41.11295971509696,-96.11188439724192
31155,Saunders County,Nebraska,41.2263446427857,-96.6373978176555
31157,Scotts Bluff County,Nebraska,41.850552809738254,-103.70795870764042
31159,Seward County,Nebraska,40.872371542271345,-97.13951565998005
31161,Sheridan County,Nebraska,42.504750570733904,-102.40891466328263
31163,Sherman County,Nebraska,41.22057223018169,-98.97621135246284
31165,Sioux County,Nebraska,42.48766429635672,-103.75888252785798
31167,Stanton County,Nebraska,41.91694582628813,-97.19390736200879
31169,Thayer County,Nebraska,40.176241260138774,-97.59495182961068
31171,Thomas County,Nebraska,41.91363527112275,-100.55581325995165
31173,Thurston County,Nebraska,42.15819480318851,-96.54404883629817
31175,Valley County,Nebraska,41.56728926538221,-98.98188535559541
31177,Washington County,Nebraska,41.53106550449832,-96.22200522192944
