fips_code,county_name,state_name,poverty_rate
13101,Echols County,Georgia,0.21600000000000003
13103,Effingham County,Georgia,0.085
13105,Elbert County,Georgia,0.18
13107,Emanuel County,Georgia,0.261
13109,Evans County,Georgia,0.237
13111,Fannin County,Georgia,0.139
13113,Fayette County,Georgia,0.057999999999999996
13115,Floyd County,Georgia,0.17
13117,Forsyth County,Georgia,0.051
13119,Franklin County,Georgia,0.16899999999999998
13121,Fulton County,Georgia,0.13
13123,Gilmer County,Georgia,0.136
13125,Glascock County,Georgia,0.157
13127,Glynn County,Georgia,0.157
13129,Gordon County,Georgia,0.129
13131,Grady County,Georgia,0.19699999999999998
13133,Greene County,Georgia,0.141
13135,Gwinnett County,Georgia,0.114
13137,Habersham County,Georgia,0.135
13139,Hall County,Georgia,0.11
13141,Hancock County,Georgia,0.303
13143,Haralson County,Georgia,0.163
13145,Harris County,Georgia,0.086
13147,Hart County,Georgia,0.149
13149,Heard County,Georgia,0.165
13151,Henry County,Georgia,0.10300000000000001
13153,Houston County,Georgia,0.128
13155,Irwin County,Georgia,0.19399999999999998
13157,Jackson County,Georgia,0.083
13159,Jasper County,Georgia,0.14800000000000002
13161,Jeff Davis County,Georgia,0.19699999999999998
13163,Jefferson County,Georgia,0.225
13165,Jenkins County,Georgia,0.289
13167,Johnson County,Georgia,0.262
13169,Jones County,Georgia,0.127
13171,Lamar County,Georgia,0.142
13173,Lanier County,Georgia,0.175
13175,Laurens County,Georgia,0.192
13177,Lee County,Georgia,0.09
13179,Liberty County,Georgia,0.162
13181,Lincoln County,Georgia,0.151
13183,Long County,Georgia,0.151
13185,Lowndes County,Georgia,0.195
13187,Lumpkin County,Georgia,0.151
13189,McDuffie County,Georgia,0.191
13191,McIntosh County,Georgia,0.187
13193,Macon County,Georgia,0.316
13195,Madison County,Georgia,0.13
13197,Marion County,Georgia,0.242
13199,Meriwether County,Georgia,0.159
13201,Miller County,Georgia,0.21100000000000002
13205,Mitchell County,Georgia,0.23800000000000002
13207,Monroe County,Georgia,0.11699999999999999
13209,Montgomery County,Georgia,0.207
13211,Morgan County,Georgia,0.11199999999999999
13213,Murray County,Georgia,0.14400000000000002
13215,Muscogee County,Georgia,0.207
13217,Newton County,Georgia,0.11800000000000001
13219,Oconee County,Georgia,0.075
13221,Oglethorpe County,Georgia,0.131
13223,Paulding County,Georgia,0.077
13225,Peach County,Georgia,0.17300000000000001
